0,1
中标人能否将中标项目转让或分包？ ,根据《招标投标法》第四十八条，中标人应当按照合同约定履行义务，完成中标项目。中标人不得向他人转让中标项目，也不得将中标项目肢解后分别向他人转让。中标人按照合同约定或者经招标人同意，可以将中标项目的部分非主体、非关键性工作分包给他人完成。接受分包的人应当具备相应的资格条件，并不得再次分包。中标人应当就分包项目向招标人负责，接受分包的人就分包项目承担连带责任。
资格预审和资格后审有什么区别？ ,根据《工程建设项目施工招标投标办法》第十七条，资格预审是指在投标前对潜在投标人进行的资格审查；资格后审是指在开标后对投标人进行的资格审查。进行资格预审的，一般不再进行资格后审，但招标文件另有规定的除外。根据《工程建设项目货物招标投标办法》第十六条，资格预审一般适用于潜在投标人较多或者大型、技术复杂货物的招标；资格后审一般在评标过程中的初步评审开始时进行。
资格预审文件或招标文件的发售期有什么要求？ ,根据《招标投标法实施条例》第十六条，招标人应当按照资格预审公告、招标公告或者投标邀请书规定的时间、地点发售资格预审文件或者招标文件。资格预审文件或者招标文件的发售期不得少于5日。
依法必须进行招标的项目的资格预审公告和招标公告应当在什么媒介发布？ ,根据《招标投标法实施条例》第十五条，依法必须进行招标的项目的资格预审公告和招标公告，应当在国务院发展改革部门依法指定的媒介发布。在不同媒介发布的同一招标项目的资格预审公告或者招标公告的内容应当一致。指定媒介发布依法必须进行招标的项目的境内资格预审公告、招标公告，不得收取费用。
招标人终止招标应当如何处理？ ,根据《招标投标法实施条例》第三十一条，招标人终止招标的，应当及时发布公告，或者以书面形式通知被邀请的或者已经获取资格预审文件、招标文件的潜在投标人。已经发售资格预审文件、招标文件或者已经收取投标保证金的，招标人应当及时退还所收取的资格预审文件、招标文件的费用，以及所收取的投标保证金及银行同期存款利息。
哪些行为属于以不合理条件限制、排斥潜在投标人或者投标人？ ,根据《招标投标法实施条例》第三十二条，招标人有下列行为之一的，属于以不合理条件限制、排斥潜在投标人或者投标人：（一）就同一招标项目向潜在投标人或者投标人提供有差别的项目信息；（二）设定的资格、技术、商务条件与招标项目的具体特点和实际需要不相适应或者与合同履行无关；（三）依法必须进行招标的项目以特定行政区域或者特定行业的业绩、奖项作为加分条件或者中标条件；（四）对潜在投标人或者投标人采取不同的资格审查或者评标标准；（五）限定或者指定特定的专利、商标、品牌、原产地或者供应商；（六）依法必须进行招标的项目非法限定潜在投标人或者投标人的所有制形式或者组织形式；（七）以其他不合理条件限制、排斥潜在投标人或者投标人。
投标人撤回投标文件有什么规定？ ,根据《招标投标法实施条例》第三十五条，投标人撤回已提交的投标文件，应当在投标截止时间前书面通知招标人。招标人已收取投标保证金的，应当自收到投标人书面撤回通知之日起5日内退还。投标截止后投标人撤销投标文件的，招标人可以不退还投标保证金。
投标人少于3个的，应当如何处理？ ,根据《招标投标法实施条例》第四十四条，投标人少于3个的，不得开标；招标人应当重新招标。根据《工程建设项目施工招标投标办法》第三十八条，重新招标后投标人仍少于三个的，属于必须审批、核准的工程建设项目，报经原审批、核准部门审批、核准后可以不再进行招标；其他工程建设项目，招标人可自行决定不再进行招标。
评标委员会应当否决投标的情形有哪些？ ,根据《招标投标法实施条例》第五十一条，有下列情形之一的，评标委员会应当否决其投标：（一）投标文件未经投标单位盖章和单位负责人签字；（二）投标联合体没有提交共同投标协议；（三）投标人不符合国家或者招标文件规定的资格条件；（四）同一投标人提交两个以上不同的投标文件或者投标报价，但招标文件要求提交备选投标的除外；（五）投标报价低于成本或者高于招标文件设定的最高投标限价；（六）投标文件没有对招标文件的实质性要求和条件作出响应；（七）投标人有串通投标、弄虚作假、行贿等违法行为。
评标完成后，评标委员会应当提交什么文件？ ,根据《招标投标法实施条例》第五十三条，评标完成后，评标委员会应当向招标人提交书面评标报告和中标候选人名单。中标候选人应当不超过3个，并标明排序。评标报告应当由评标委员会全体成员签字。
依法必须进行招标的项目，招标人应当在什么时间公示中标候选人？ ,根据《招标投标法实施条例》第五十四条，依法必须进行招标的项目，招标人应当自收到评标报告之日起3日内公示中标候选人，公示期不得少于3日。
国有资金占控股或者主导地位的依法必须进行招标的项目，如何确定中标人？ ,根据《招标投标法实施条例》第五十五条，国有资金占控股或者主导地位的依法必须进行招标的项目，招标人应当确定排名第一的中标候选人为中标人。排名第一的中标候选人放弃中标、因不可抗力不能履行合同、不按照招标文件要求提交履约保证金，或者被查实存在影响中标结果的违法行为等情形，不符合中标条件的，招标人可以按照评标委员会提出的中标候选人名单排序依次确定其他中标候选人为中标人，也可以重新招标。
招标人最迟应当在何时向中标人和未中标的投标人退还投标保证金？ ,根据《招标投标法实施条例》第五十七条，招标人最迟应当在书面合同签订后5日内向中标人和未中标的投标人退还投标保证金及银行同期存款利息。
投标人或者其他利害关系人认为招标投标活动不符合法律规定的，如何投诉？ ,根据《招标投标法实施条例》第六十条，投标人或者其他利害关系人认为招标投标活动不符合法律、行政法规规定的，可以自知道或者应当知道之日起10日内向有关行政监督部门投诉。投诉应当有明确的请求和必要的证明材料。就本条例第二十二条、第四十四条、第五十四条规定事项投诉的，应当先向招标人提出异议，异议答复期间不计算在前款规定的期限内。
行政监督部门处理投诉的时限是多久？ ,根据《招标投标法实施条例》第六十一条，行政监督部门应当自收到投诉之日起3个工作日内决定是否受理投诉，并自受理投诉之日起30个工作日内作出书面处理决定；需要检验、检测、鉴定、专家评审的，所需时间不计算在内。
什么是电子招标投标？ ,根据《电子招标投标办法》第二条，电子招标投标活动是指以数据电文形式，依托电子招标投标系统完成的全部或者部分招标投标交易、公共服务和行政监督活动。数据电文形式与纸质形式的招标投标活动具有同等法律效力。
电子招标投标系统分为哪几类平台？ ,根据《电子招标投标办法》第三条，电子招标投标系统根据功能的不同，分为交易平台、公共服务平台和行政监督平台。交易平台是以数据电文形式完成招标投标交易活动的信息平台；公共服务平台是满足交易平台之间信息交换、资源共享需要，并为市场主体、行政监督部门和社会公众提供信息服务的信息平台；行政监督平台是行政监督部门和监察机关在线监督电子招标投标活动的信息平台。
招标公告和公示信息应当包括哪些内容？ ,根据《招标公告和公示信息发布管理办法》第五条、第六条，依法必须招标项目的资格预审公告和招标公告，应当载明：招标项目名称、内容、范围、规模、资金来源；投标资格能力要求，以及是否接受联合体投标；获取资格预审文件或招标文件的时间、方式；递交资格预审文件或投标文件的截止时间、方式；招标人及其招标代理机构的名称、地址、联系人及联系方式等。中标候选人公示应当载明：中标候选人排序、名称、投标报价、质量、工期（交货期），以及评标情况；项目负责人姓名及其相关证书名称和编号；资格能力条件；提出异议的渠道和方式等。
招标公告和公示信息应当在什么平台发布？ ,根据《招标公告和公示信息发布管理办法》第八条，依法必须招标项目的招标公告和公示信息应当在"中国招标投标公共服务平台"或者项目所在地省级电子招标投标公共服务平台发布。
什么是总承包招标？暂估价项目如何处理？ ,根据《招标投标法实施条例》第二十九条，招标人可以依法对工程以及与工程建设有关的货物、服务全部或者部分实行总承包招标。以暂估价形式包括在总承包范围内的工程、货物、服务属于依法必须进行招标的项目范围且达到国家规定规模标准的，应当依法进行招标。前款所称暂估价，是指总承包招标时不能确定价格而由招标人在招标文件中暂时估定的工程、货物、服务的金额。
什么是两阶段招标？ ,根据《招标投标法实施条例》第三十条，对技术复杂或者无法精确拟定技术规格的项目，招标人可以分两阶段进行招标。第一阶段，投标人按照招标公告或者投标邀请书的要求提交不带报价的技术建议，招标人根据投标人提交的技术建议确定技术标准和要求，编制招标文件。第二阶段，招标人向在第一阶段提交技术建议的投标人提供招标文件，投标人按照招标文件的要求提交包括最终技术方案和投标报价的投标文件。招标人要求投标人提交投标保证金的，应当在第二阶段提出。
评标方法主要有哪些？ ,根据《评标委员会和评标方法暂行规定》第二十九条，评标方法包括经评审的最低投标价法、综合评估法或者法律、行政法规允许的其他评标方法。经评审的最低投标价法一般适用于具有通用技术、性能标准或者招标人对其技术、性能没有特殊要求的招标项目。不宜采用经评审的最低投标价法的招标项目，一般应当采取综合评估法进行评审。
什么是重大偏差和细微偏差？ ,根据《评标委员会和评标方法暂行规定》第二十四条、第二十五条、第二十六条，重大偏差是指投标文件未能对招标文件作出实质性响应的情形，包括：没有按照招标文件要求提供投标担保；投标文件没有投标人授权代表签字和加盖公章；投标文件载明的招标项目完成期限超过招标文件规定的期限；明显不符合技术规格、技术标准的要求等。细微偏差是指投标文件在实质上响应招标文件要求，但在个别地方存在漏项或者提供了不完整的技术信息和数据等情况，并且补正这些遗漏或者不完整不会对其他投标人造成不公平的结果。
中标无效的情形有哪些？如何处理？ ,根据《招标投标法》第六十四条，依法必须进行招标的项目违反本法规定，中标无效的，应当依照本法规定的中标条件从其余投标人中重新确定中标人或者依照本法重新进行招标。根据《招标投标法实施条例》第八十一条，依法必须进行招标的项目的招标投标活动违反招标投标法和本条例的规定，对中标结果造成实质性影响，且不能采取补救措施予以纠正的，招标、投标、中标无效，应当依法重新招标或者评标。
招标人、中标人不按照招标文件和中标人的投标文件订立合同的，应当承担什么责任？ ,根据《招标投标法实施条例》第七十五条，招标人和中标人不按照招标文件和中标人的投标文件订立合同，合同的主要条款与招标文件、中标人的投标文件的内容不一致，或者招标人、中标人订立背离合同实质性内容的协议的，由有关行政监督部门责令改正，可以处中标项目金额5‰以上10‰以下的罚款。
评标委员会成员收受投标人财物或者其他好处的，应当承担什么责任？ ,根据《招标投标法》第五十六条，评标委员会成员收受投标人的财物或者其他好处的，评标委员会成员或者参加评标的有关工作人员向他人透露对投标文件的评审和比较、中标候选人的推荐以及与评标有关的其他情况的，给予警告，没收收受的财物，可以并处三千元以上五万元以下的罚款，对有所列违法行为的评标委员会成员取消担任评标委员会成员的资格，不得再参加任何依法必须进行招标的项目的评标；构成犯罪的，依法追究刑事责任。
政府采购的方式有哪些？ ,根据《政府采购法》第二十六条，政府采购采用以下方式：（一）公开招标；（二）邀请招标；（三）竞争性谈判；（四）单一来源采购；（五）询价；（六）国务院政府采购监督管理部门认定的其他采购方式。公开招标应作为政府采购的主要采购方式。
政府采购工程以及与工程建设有关的货物、服务，采用招标方式采购的，适用什么法律？ ,根据《招标投标法实施条例》第八十三条，政府采购的法律、行政法规对政府采购货物、服务的招标投标另有规定的，从其规定。根据《政府采购法》第四条，政府采购工程进行招标投标的，适用招标投标法。根据《政府采购法实施条例》第七条，政府采购工程以及与工程建设有关的货物、服务，采用招标方式采购的，适用《招标投标法》及其实施条例；采用其他方式采购的，适用《政府采购法》及本条例。
什么是竞争性磋商采购方式？ ,根据《政府采购竞争性磋商采购方式管理暂行办法》第二条，竞争性磋商采购方式是指采购人、政府采购代理机构通过组建竞争性磋商小组与符合条件的供应商就采购货物、工程和服务事宜进行磋商，供应商按照磋商文件的要求提交响应文件和报价，采购人从磋商小组评审后提出的候选供应商名单中确定成交供应商的采购方式。
什么情况下可以采用竞争性磋商方式采购？ ,根据《政府采购竞争性磋商采购方式管理暂行办法》第三条，符合下列情形的项目，可以采用竞争性磋商方式开展采购：（一）政府购买服务项目；（二）技术复杂或者性质特殊，不能确定详细规格或者具体要求的；（三）因艺术品采购、专利、专有技术或者服务的时间、数量事先不能确定等原因不能事先计算出价格总额的；（四）市场竞争不充分的科研项目，以及需要扶持的科技成果转化项目；（五）按照招标投标法及其实施条例必须进行招标的工程建设项目以外的工程建设项目。
政府采购促进中小企业发展有什么政策？ ,根据《政府采购促进中小企业发展管理办法》第四条，在政府采购活动中，供应商提供的货物、工程或者服务符合本办法规定的，采购人、采购代理机构应当对中小企业给予价格扣除优惠或者采取其他措施支持中小企业参与政府采购。具体措施包括：对小微企业报价给予6%-10%的价格扣除优惠；提高预付款比例；缩短合同签订和付款期限等。
政府采购进口产品有什么规定？ ,根据《政府采购进口产品管理办法》第四条，政府采购应当采购本国产品，确需采购进口产品的，实行审核管理。根据第七条，采购人需要采购的产品在中国境内无法获取或者无法以合理的商业条件获取，以及法律法规另有规定确需采购进口产品的，应当在获得财政部门核准后，依法开展政府采购活动。
什么是框架协议采购方式？ ,根据《政府采购框架协议采购方式管理暂行办法》第二条，框架协议采购是指集中采购机构或者主管预算单位对技术、服务等标准明确、统一，需要多次重复采购的货物和服务，通过公开征集程序，确定第一阶段入围供应商并订立框架协议，采购人或者服务对象按照框架协议约定规则，在入围供应商范围内确定第二阶段成交供应商并订立采购合同的采购方式。
政府采购质疑和投诉的时限是多久？ ,根据《政府采购质疑和投诉办法》第十条，供应商认为采购文件、采购过程、中标或者成交结果使自己的权益受到损害的，可以在知道或者应知其权益受到损害之日起7个工作日内，以书面形式向采购人、采购代理机构提出质疑。根据第十七条，质疑供应商对采购人、采购代理机构的答复不满意，或者采购人、采购代理机构未在规定时间内作出答复的，可以在答复期满后15个工作日内向同级财政部门提起投诉。
政府采购信息发布有什么要求？ ,根据《政府采购信息发布管理办法》第五条，财政部指导协调全国政府采购信息发布工作，并依照政府采购法律、行政法规有关规定，对中央预算单位的政府采购信息发布活动进行监督管理。地方各级人民政府财政部门（以下简称财政部门）对本级预算单位的政府采购信息发布活动进行监督管理。根据第七条，政府采购信息应当按照财政部规定的格式编制。
政府购买服务管理办法对合同期限有什么规定？ ,根据《政府购买服务管理办法》第二十四条，政府购买服务合同履行期限一般不超过1年；在预算保障的前提下，对于购买内容相对固定、连续性强、经费来源稳定、价格变化幅度小的政府购买服务项目，可以签订履行期限不超过3年的政府购买服务合同。
什么是批量集中采购？ ,根据《中央预算单位批量集中采购管理暂行办法》第二条，批量集中采购是指对通用性强、技术规格统一、便于归集的中央预算单位政府采购品目，由集中采购机构归集采购人采购需求后统一组织实施的采购活动。根据第三条，台式计算机、便携式计算机、打印机、复印机、空调机等品目应当实行批量集中采购。
政府采购评审专家应当具备什么条件？ ,根据《政府采购评审专家管理办法》第六条，评审专家应当具备以下条件：（一）具有良好的职业道德，廉洁自律，遵纪守法，无行贿、受贿、欺诈等不良信用记录；（二）具有中级专业技术职称或同等专业水平且从事相关领域工作满8年，或者具有高级专业技术职称或同等专业水平；（三）熟悉政府采购相关政策法规；（四）承诺以独立身份参加评审工作，依法履行评审专家工作职责并承担相应法律责任的中国公民；（五）不满70周岁，身体健康，能够承担评审工作；（六）申请成为评审专家前三年内，无本办法第二十九条规定的不良行为记录。
政府采购代理机构如何管理？ ,根据《政府采购代理机构管理暂行办法》第六条，代理机构实行名录登记管理。省级财政部门依托中国政府采购网省级分网建立政府采购代理机构名录。名录信息全国共享并向社会公开。根据第十二条，采购人应当根据项目特点、代理机构专业领域和综合信用评价结果，从名录中自主择优选择代理机构。任何单位和个人不得以摇号、抽签、遴选等方式干预采购人自行选择代理机构。
政府采购合同应当包括哪些内容？ ,根据《政府采购法》第四十五条，国务院政府采购监督管理部门应当会同国务院有关部门，规定政府采购合同必须具备的条款。根据《政府采购货物和服务招标投标管理办法》第七十二条，政府采购合同应当包括采购人与中标人的名称和住所、标的、数量、质量、价款或者报酬、履行期限及地点和方式、验收要求、违约责任、解决争议的方法等内容。
政府采购履约验收有什么要求？ ,根据《财政部关于进一步加强政府采购需求和履约验收管理的指导意见》，采购人应当依法组织履约验收工作。采购人或者采购代理机构应当成立验收小组，按照采购合同的约定对供应商履约情况进行验收。验收时，应当按照采购合同的约定对每一项技术、服务、安全标准的履约情况进行确认。验收结束后，应当出具验收书，列明各项标准的验收情况及项目总体评价，由验收双方共同签署。
什么是政务信息系统政府采购？ ,根据《政务信息系统政府采购管理暂行办法》第二条，政务信息系统是指由政府投资建设、政府和社会企业联合建设、政府向社会购买服务或需要政府运行维护的，用于支撑政务部门履行管理和服务职能的各类信息系统。根据第三条，政务信息系统政府采购活动应当遵循先规划、后审批、再建设的程序，符合国家电子政务有关标准规范要求。
政府采购中，如何计算供应商家数？ ,根据《财政部办公厅关于多家代理商代理一家制造商的产品参加投标如何计算供应商家数的复函》，政府采购公开招标、竞争性谈判和询价项目，如果多家代理商参加同一品牌同一型号产品投标的，应当作为一个供应商计算。公开招标以外采购方式以及政府采购服务和工程，也按此方法计算供应商家数。
政府采购中，"较大数额罚款"如何认定？ ,根据《财政部关于〈中华人民共和国政府采购法实施条例〉第十九条第一款"较大数额罚款"具体适用问题的意见》，"较大数额罚款"认定为200万元以上的罚款，法律、行政法规以及国务院有关部门明确规定相关领域"较大数额罚款"标准高于200万元的，从其规定。
政府采购中，供应商重大违法记录如何认定？ ,根据《政府采购法实施条例》第十九条，政府采购法第二十二条第一款第五项所称重大违法记录，是指供应商因违法经营被吊销许可证或者执照，或者因违法经营被禁止参加政府采购活动。根据《财政部关于〈中华人民共和国政府采购法实施条例〉第十九条第一款"较大数额罚款"具体适用问题的意见》，供应商被处以200万元以上罚款的，属于重大违法记录。
政府采购中，如何执行中小企业扶持政策？ ,根据《政府采购促进中小企业发展管理办法》第八条、第九条，采购人应当在采购文件中明确预留份额、价格扣除比例或者价格分加分比例等具体措施。对于经主管预算单位统筹后未预留份额专门面向中小企业采购的采购项目，以及预留份额项目中的非预留部分采购包，采购人、采购代理机构应当对符合本办法规定的小微企业报价给予6%-10%的扣除，用扣除后的价格参加评审。适用招标投标法的政府采购工程建设项目，采用综合评估法但未采用低价优先法计算价格分的，评标时应当在采用原报价进行评分的基础上增加价格得分的3%-5%作为其价格分。
房屋建筑和市政基础设施工程施工招标有什么特殊要求？ ,根据《房屋建筑和市政基础设施工程施工招标投标管理办法》第八条，依法必须进行施工招标的工程建设项目，应当具备下列条件才能进行施工招标：（一）招标人已经依法成立；（二）初步设计及概算应当履行审批手续的，已经批准；（三）有相应资金或资金来源已经落实；（四）有招标所需的设计图纸及技术资料。根据《住房和城乡建设部关于进一步加强房屋建筑和市政基础设施工程招标投标监管的指导意见》，要全面推行电子招标投标，推动市场形成价格机制，加强评标专家监管，强化招标代理机构市场行为监管。
公路工程建设项目招标投标有什么规定？ ,根据《公路工程建设项目招标投标管理办法》，公路工程建设项目达到下列标准之一的，必须进行招标：（一）施工单项合同估算价在400万元人民币以上；（二）重要设备、材料等货物的采购，单项合同估算价在200万元人民币以上；（三）勘察、设计、监理等服务的采购，单项合同估算价在100万元人民币以上。公路工程建设项目评标工作应当遵循公平、公正、科学、择优的原则，实行评标委员会负责制。根据《公路工程建设项目评标工作细则》，评标委员会由招标人代表和有关技术、经济等方面的专家组成，成员人数为五人以上单数，其中技术、经济等方面的专家不得少于成员总数的三分之二。
水运工程建设项目招标投标有什么规定？ ,根据《水运工程建设项目招标投标管理办法》，水运工程建设项目是指港口工程、航道工程、航运枢纽工程、通航建筑物工程、修造船水工建筑物工程、陆域形成工程、地基处理工程、水下炸礁与清礁工程，以及相关的支持系统工程（含导助航工程、船舶交通管理系统工程及其他支持系统工程）。水运工程建设项目达到规定规模标准的，应当依法进行招标。交通运输部建立水运工程和交通支持系统工程综合评标专家库，实行统一管理、分级负责、资源共享、随机抽取。
铁路工程建设项目招标投标有什么规定？ ,根据《铁路工程建设项目招标投标管理办法》，铁路工程建设项目是指铁路工程以及与铁路工程建设有关的货物、服务。铁路工程包括铁路土建工程、铁路电气化工程、铁路通信信号工程、铁路信息化工程等。铁路工程建设项目达到规定规模标准的，应当依法进行招标。国家铁路局负责全国铁路工程建设项目招标投标活动的监督管理工作，地方铁路监管部门负责本行政区域内地方铁路工程建设项目招标投标活动的监督管理工作。
水利工程建设项目招标投标有什么规定？ ,根据《水利工程建设项目招标投标管理规定》，水利工程建设项目是指防洪、排涝、灌溉、水力发电、引（供）水、滩涂治理、水土保持、水资源保护等各类水利工程的新建、扩建、改建、加固以及相关的配套工程。水利工程建设项目达到规定规模标准的，应当依法进行招标。水利部负责全国水利工程建设项目招标投标活动的行政监督管理工作，流域管理机构受水利部委托负责流域内水利工程建设项目招标投标活动的行政监督管理工作，省、自治区、直辖市人民政府水行政主管部门负责本行政区域内水利工程建设项目招标投标活动的行政监督管理工作。
通信工程建设项目招标投标有什么规定？ ,根据《通信工程建设项目招标投标管理办法》，通信工程建设项目，是指通信工程以及与通信工程建设有关的货物、服务。通信工程包括通信设施或者通信网络的新建、改建、扩建、拆除等施工；与通信工程建设有关的货物，是指构成通信工程不可分割的组成部分，且为实现通信工程基本功能所必需的设备、材料等；与通信工程建设有关的服务，是指为完成通信工程所需的勘察、设计、监理等服务。通信工程建设项目达到规定规模标准的，应当依法进行招标。工业和信息化部负责全国通信工程建设项目招标投标活动的监督管理。
机电产品国际招标投标有什么特殊规定？ ,根据《机电产品国际招标投标实施办法（试行）》，机电产品国际招标，是指中华人民共和国境内的招标人根据采购机电产品的条件和要求，在全球范围内以招标方式邀请潜在投标人参加投标，并按照规定程序从投标人中确定中标人的一种采购行为。机电产品国际招标应当采用公开招标或者邀请招标的方式进行。依法必须进行招标的机电产品国际招标项目，应当采用国际招标的方式进行。商务部负责管理和协调全国机电产品国际招标投标工作，制定相关规定；各级商务主管部门、机电产品进出口管理机构负责本地区、本部门机电产品国际招标投标活动的行政监督。
国有建设用地使用权招标拍卖挂牌出让有什么规定？ ,根据《招标拍卖挂牌出让国有建设用地使用权规定》，工业、商业、旅游、娱乐和商品住宅等经营性用地以及同一宗地有两个以上意向用地者的，应当以招标、拍卖或者挂牌方式出让。招标拍卖挂牌出让国有建设用地使用权，应当遵循公开、公平、公正和诚信的原则。市、县人民政府国土资源行政主管部门应当根据土地估价结果和政府产业政策综合确定标底或者底价，标底或者底价不得低于国家规定的最低价标准。确定招标标底，拍卖和挂牌的起叫价、起始价、底价，投标、竞买保证金，应当实行集体决策。
招标拍卖挂牌出让国有土地使用权的程序是什么？ ,根据《招标拍卖挂牌出让国有土地使用权规范（试行）》，程序包括：（一）公布出让计划，确定供地方式；（二）编制、确定出让方案；（三）地价评估，确定出让底价；（四）编制出让文件；（五）发布出让公告；（六）申请和资格审查；（七）招标拍卖挂牌活动实施；（八）签订出让合同，公布出让结果；（九）核发《建设用地批准书》，交付土地；（十）办理土地登记；（十一）资料归档。
什么是政府投资条例中的政府投资？ ,根据《政府投资条例》第二条，本条例所称政府投资，是指在中国境内使用预算安排的资金进行固定资产投资建设活动，包括新建、扩建、改建、技术改造等。政府投资资金应当投向市场不能有效配置资源的社会公益服务、公共基础设施、农业农村、生态环境保护、重大科技进步、社会管理、国家安全等公共领域的项目，以非经营性项目为主。
政府投资项目审批有什么要求？ ,根据《政府投资条例》第九条，政府采取直接投资方式、资本金注入方式投资的项目，项目单位应当编制项目建议书、可行性研究报告、初步设计，按照政府投资管理权限和规定的程序，报投资主管部门或者其他有关部门审批。项目单位应当加强政府投资项目的前期工作，保证前期工作的深度达到规定的要求，并对项目建议书、可行性研究报告、初步设计以及依法应当附具的其他文件的真实性负责。除涉及国家秘密的项目外，投资主管部门和其他有关部门应当通过投资项目在线审批监管平台，使用在线平台生成的项目代码办理政府投资项目审批手续。
政府投资项目能否由施工单位垫资建设？ ,不能。根据《政府投资条例》第二十二条，政府投资项目不得由施工单位垫资建设。
政府投资项目建设投资能否超过经核定的投资概算？ ,原则上不能。根据《政府投资条例》第二十三条，政府投资项目建设投资原则上不得超过经核定的投资概算。因国家政策调整、价格上涨、地质条件发生重大变化等原因确需增加投资概算的，项目单位应当提出调整方案及资金来源，按照规定的程序报原初步设计审批部门或者投资概算核定部门核定；涉及预算调整或者调剂的，依照有关预算的法律、行政法规和国家有关规定办理。
工程建设项目勘察设计招标有什么特殊要求？ ,根据《工程建设项目勘察设计招标投标办法》，勘察设计招标分为公开招标和邀请招标。依法必须招标的工程建设项目，招标人可以对项目的勘察、设计、施工以及与工程建设有关的重要设备、材料的采购，实行总承包招标。勘察设计评标一般采取综合评估法进行。评标委员会应当按照招标文件确定的评标标准和方法，结合经批准的项目建议书、可行性研究报告或者上阶段设计批复文件，对投标人的业绩、信誉和勘察设计人员的能力以及勘察设计方案的优劣进行综合评定。
工程建设项目货物招标投标有什么规定？ ,根据《工程建设项目货物招标投标办法》，工程建设项目货物招标投标活动，依法由招标人负责。工程建设项目招标人对项目实行总承包招标时，未包括在总承包范围内的货物属于依法必须进行招标的项目范围且达到国家规定规模标准的，应当由工程建设项目招标人依法组织招标。工程建设项目实行总承包招标时，以暂估价形式包括在总承包范围内的货物属于依法必须进行招标的项目范围且达到国家规定规模标准的，应当依法组织招标。技术简单或技术规格、性能、制作工艺要求统一的货物，一般采用经评审的最低投标价法进行评标；技术复杂或技术规格、性能、制作工艺要求难以统一的货物，一般采用综合评估法进行评标。
评标专家和评标专家库如何管理？ ,根据《评标专家和评标专家库管理暂行办法》，评标专家库由省级以上人民政府有关部门或者依法成立的招标代理机构依照《招标投标法》、《招标投标法实施条例》以及国家统一的评标专家专业分类标准和管理办法的规定自主组建。入选评标专家库的专家，必须具备：从事相关专业领域工作满八年并具有高级职称或同等专业水平；熟悉有关招标投标的法律法规；能够认真、公正、诚实、廉洁地履行职责；身体健康，能够承担评标工作。评标专家库应当具备：具有符合规定条件的评标专家，专家总数不得少于500人；有满足评标需要的专业分类；有满足异地抽取、随机抽取评标专家需要的必要设施和条件；有负责日常维护管理的专门机构和人员。
招标投标违法行为记录公告有什么规定？ ,根据《招标投标违法行为记录公告暂行办法》，国务院有关行政主管部门按照规定的职责分工，建立各自的招标投标违法行为记录公告平台，并负责公告平台的日常维护。公告部门应自招标投标违法行为行政处理决定作出之日起20个工作日内对外进行记录公告。违法行为记录公告期限为六个月。公告期满后，转入后台保存。依法限制招标投标当事人资质（资格）等方面的行政处理决定，所认定的限制期限长于六个月的，公告期限从其决定。
在招标投标活动中如何对失信被执行人实施联合惩戒？ ,根据《最高人民法院等关于在招标投标活动中对失信被执行人实施联合惩戒的通知》，联合惩戒对象为被人民法院列为失信被执行人的投标人、招标代理机构、评标专家以及其他招标从业人员。依法必须进行招标的工程建设项目，招标人应当在资格预审公告、招标公告、投标邀请书及资格预审文件、招标文件中明确规定对失信被执行人的处理方法和评标标准，在评标阶段，招标人或者招标代理机构、评标专家委员会应当查询投标人是否为失信被执行人，对属于失信被执行人的投标活动依法予以限制。两个以上的自然人、法人或者其他组织组成一个联合体，以一个投标人的身份共同参加投标活动的，应当对所有联合体成员进行失信被执行人信息查询。联合体中有一个或一个以上成员属于失信被执行人的，联合体视为失信被执行人。
工程建设项目招标投标活动投诉如何处理？ ,根据《工程建设项目招标投标活动投诉处理办法》，投标人或者其他利害关系人认为招标投标活动不符合法律、法规和规章规定的，有权依法向有关行政监督部门投诉。投诉人投诉时，应当提交投诉书，包括：投诉人的名称、地址及有效联系方式；被投诉人的名称、地址及有效联系方式；投诉事项的基本事实；相关请求及主张；有效线索和相关证明材料。行政监督部门收到投诉书后，应当在三个工作日内进行审查，决定是否受理。负责受理投诉的行政监督部门应当自受理投诉之日起三十个工作日内，对投诉事项做出处理决定，并以书面形式通知投诉人、被投诉人和其他与投诉处理结果有关的当事人。
如何建立清理和规范招标投标有关规定的长效机制？ ,根据《国家发展和改革委员会等关于建立清理和规范招标投标有关规定长效机制的意见》，要建立招标投标规定定期清理和目录管理机制，每3年至少组织进行一次全面清理，坚决纠正违法通过规章和规范性文件设置审批事项和收费项目、以备案名义变相实施审批、干预交易主体自主权的行为；实行目录管理，对经清理后保留的招标投标规章和规范性文件进行汇编，拟订目录，向社会公布，未列入目录的规章和规范性文件，一律不得作为行政监管依据；推进招标投标规定信息公开，畅通意见反馈渠道；完善招标投标规定审查和后评估机制，规范公众征求意见程序，加大备案审查力度，建立后评估制度。
依法必须进行招标的项目而不招标的，应当承担什么法律责任？ ,根据《招标投标法》第四十九条，违反本法规定，必须进行招标的项目而不招标的，将必须进行招标的项目化整为零或者以其他任何方式规避招标的，责令限期改正，可以处项目合同金额千分之五以上千分之十以下的罚款；对全部或者部分使用国有资金的项目，可以暂停项目执行或者暂停资金拨付；对单位直接负责的主管人员和其他直接责任人员依法给予处分。
